filename,sro_mean,sro_var,label
Turduspilaris565575.wav,6428.059895833333,314219.5327414407,Turduspilaris
Turduspilaris555547.wav,6073.7091064453125,199214.25900422037,Turduspilaris
Turduspilaris482707.wav,6406.72607421875,68565.07688760757,Turduspilaris
Turduspilaris463555.wav,5987.9750569661455,826784.0856800063,Turduspilaris
Turduspilaris462961.wav,5697.1771240234375,743376.9728150219,Turduspilaris
Turduspilaris462956.wav,6409.3678792317705,244488.31938103668,Turduspilaris
Turduspilaris462140.wav,6906.0272216796875,747127.7267392725,Turduspilaris
Turduspilaris421686.wav,5002.980550130208,3003405.2379884655,Turduspilaris
Turduspilaris175093.wav,6747.170003255208,819016.3843789034,Turduspilaris
Turduspilaris153794.wav,5375.126139322917,660109.8724537425,Turduspilaris
Turduspilaris100967.wav,5200.069173177083,527392.7772376272,Turduspilaris
Turduspilaris100966.wav,5400.248209635417,1205174.7206681308,Turduspilaris
Turduspilaris91110.wav,6231.6192626953125,1017444.2597385496,Turduspilaris
Turduspilaris565058.wav,6541.507975260417,276061.0780947738,Turduspilaris
Turduspilaris563000.wav,6666.221110026042,367205.0066747599,Turduspilaris
Turduspilaris558384.wav,6505.718994140625,140462.75597065687,Turduspilaris
Turduspilaris545981.wav,5687.357584635417,451148.49665098713,Turduspilaris
Turduspilaris540705.wav,6229.0273030598955,488240.63457445137,Turduspilaris
Turduspilaris533778.wav,5155.9560139973955,630360.7024987125,Turduspilaris
Turduspilaris477663.wav,7984.2824300130205,33875.74364638163,Turduspilaris
Turduspilaris462960.wav,6091.204833984375,849835.5631157756,Turduspilaris
Turduspilaris421688.wav,5513.8458251953125,1201474.3114169687,Turduspilaris
Turduspilaris419850.wav,6316.605631510417,320171.62818047736,Turduspilaris
Turduspilaris562514.wav,7552.4220784505205,46939.84717027181,Turduspilaris
Turduspilaris562512.wav,7034.77783203125,107332.7063024044,Turduspilaris
Turduspilaris555546.wav,6639.703369140625,150966.0118445754,Turduspilaris
Alaudaarvensis548691.wav,4178.538004557292,1685049.5503801438,Alaudaarvensis
